y_plus,U_plus
-0.001,0.0
-0.0,0.0
0.001,0.0
1.994,-0.2022336326386365
1.995,-0.19850197398943184
1.996,-0.19652727078859117
1.997,-0.19862915125490943
4.229,-0.29509288371363634
4.23,-0.2777399739169818
4.231,-0.2616524670466356
4.232,-0.2754927030015905
6.733,-0.1463727319428406
6.734,-0.09456970508227229
6.735,-0.10047913630232626
9.536,0.37409549551136556
9.537,0.40971376824544375
9.538,0.4592761234233123
12.676,1.4097880953068218
12.677,1.4422302369706825
12.678,1.512656682578058
12.679,1.479730093821785
16.193,2.878631752045456
16.194,2.9080163143075786
16.195,2.9400004153481967
20.132,4.554700191575002
20.133,4.54662314052273
20.134,4.56941896685206
24.544,6.13157749535682
24.545,6.114463745600002
24.546,6.133825995155921
29.485,7.477142285444546
29.486,7.481103323640918
29.487,7.477499712863645
35.019,8.579873407299091
35.02,8.582706815030688
41.216,9.481511060500003
41.217,9.489530535029546
41.218,9.491487502023642
48.158,10.257952106833335
48.159,10.258746013045455
48.16,10.26109735099614
55.933,10.928544240102273
55.934,10.929606277045455
55.935,10.928943858236366
64.64,11.519265884545455
64.641,11.523993769431819
64.642,11.523765361045456
74.393,12.060701329511362
74.394,12.060845394079546
74.395,12.060260050886365
85.316,12.554293551481818
85.317,12.554519806420455
97.549,13.010560781818183
97.55,13.012537001477273
97.551,13.012364869186364
111.251,13.438491995443183
111.252,13.438231066369696
126.597,13.83471325870909
126.598,13.834852629038636
143.784,14.201260725075757
143.785,14.201372040373863
163.034,14.536022901963637
163.035,14.535942160693182
184.594,14.834454384327273
184.595,14.834281088354546
208.741,15.089625786041557
235.785,15.291419558579546
235.786,15.290992366974242
266.075,15.423291320772728
266.076,15.423131408509091
300.0,15.470709945272077
333.924,15.423131742231817
333.925,15.423291698416667
364.214,15.290993043142423
364.215,15.291420276647727
391.259,15.08962679734091
415.405,14.834282261672728
415.406,14.834455708327273
436.965,14.535943569627273
436.966,14.536024456727272
456.215,14.201373816829546
456.216,14.201262327030301
473.402,13.834854475270456
473.403,13.834715092100001
488.748,13.438232864030304
488.749,13.438493967124998
502.449,13.012366404695456
502.45,13.012538936681818
502.451,13.01056266159091
514.683,12.55451987754091
514.684,12.554295471109091
525.605,12.060256768818183
525.606,12.060846020738637
525.607,12.060702157704547
535.358,11.523758142325
535.359,11.523995415443181
535.36,11.51925892818182
544.065,10.928929379059094
544.066,10.92960655611591
544.067,10.928539932159092
551.84,10.261094134702958
551.841,10.258742926795456
551.842,10.257946597
558.782,9.491499736979094
558.783,9.489519225367046
558.784,9.48152657334091
564.98,8.58273166280887
564.981,8.57986333737
570.513,7.4775286088941
570.514,7.48110858727319
570.515,7.477123334390001
575.454,6.133813402388194
575.455,6.1144341214636375
575.456,6.131551191788638
579.866,4.5693740125254685
579.867,4.546600634034851
579.868,4.554668992877274
583.805,2.9399419074586515
583.806,2.9080020183181845
583.807,2.878611889418183
587.321,1.4796272723206485
587.322,1.5126619261152396
587.323,1.4422251087013649
587.324,1.40977187518864
590.462,0.459247035240935
590.463,0.409711991828312
590.464,0.37408835060909285
593.265,-0.10049212927619217
593.266,-0.09456965774499951
593.267,-0.14637455223704515
595.768,-0.27550489586036325
595.769,-0.2616478577700447
595.77,-0.27773997209976364
595.771,-0.29509748385681817
598.003,-0.19863173633331851
598.004,-0.1965251008133639
598.005,-0.19850180779693186
598.006,-0.2022361065750001
599.999,0.0
600.0,0.0
600.001,0.0
